wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Recioto della Valpolicella (Monte Lodoletta),Dal Forno Romano Recioto della Valpolicella (Monte Lodoletta) 1997,1997,4.6,227,4.7,75,1003.3333333333334,0,Italie,24.954770080414452,0.004584717607973421,1882.0,1661.0,1771.5
Barolo Ciabot Mentin Ginestra,Domenico Clerico Barolo Ciabot Mentin Ginestra 2006,2006,4.3,3525,4.4,225,225.0,0,Italie,35.12083357555939,0.01911111111111111,1194.0,696.0,945.0
Lupicaia,Castello del Terriccio Lupicaia 2006,2006,4.4,4414,4.5,408,325.0,0,Italie,36.9271609819934,0.01353846153846154,1000.0,952.0,976.0
Cabernet Sauvignon,Leonetti Cabernet Sauvignon 2006,2006,4.5,3087,4.7,64,268.3333333333333,0,États-Unis,36.15729761025971,0.01677018633540373,1081.0,788.0,934.5
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2001,2001,4.7,7947,4.7,266,1060.0,0,Italie,42.20858395631885,0.004433962264150944,533.0,1675.0,1104.0
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2002,2002,4.7,7947,4.7,217,1048.3333333333333,0,Italie,42.20858395631885,0.004483306836248013,533.0,1674.0,1103.5
Valpolicella Superiore Monte Lodoletta,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2003,2003,4.5,13024,4.5,405,283.3333333333333,0,Italie,42.63547089709045,0.015882352941176472,513.0,822.0,667.5
L'Apparita,Castello di Ama L'Apparita 1995,1995,4.4,3836,4.5,104,383.33333333333337,0,Italie,36.30961591841465,0.011478260869565217,1064.0,1057.0,1060.5
Clos des Lambrays Grand Cru,Domaine des Lambrays Clos des Lambrays Grand Cru 2002,2002,4.4,6431,4.5,303,1124.1666666666667,0,France,38.583095434993396,0.003914010378057821,826.0,1745.0,1285.5
L'Extravagant de Doisy-Daëne Sauternes,Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2006,2006,4.6,465,0.0,24,736.6666666666667,0,France,28.253372065701836,0.006244343891402714,1697.0,1476.0,1586.5
Clos de la Coulée de Serrant,Nicolas Joly Clos de la Coulée de Serrant 2008,2008,4.3,8365,4.4,262,353.3333333333333,0,France,38.83678993770997,0.012169811320754717,800.0,1017.0,908.5
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 1997,1997,4.6,33143,4.7,1061,982.5,1,Italie,47.87949933487189,0.004681933842239186,203.0,1646.0,924.5
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 1997,1997,4.6,33143,4.7,1061,982.5,1,Italie,47.87949933487189,0.004681933842239186,203.0,1646.0,924.5
Veneto Rosso del Bepi,Quintarelli Giuseppe Veneto Rosso del Bepi 1999,1999,4.6,3747,4.5,320,325.0,0,Italie,37.85206967445096,0.014153846153846152,922.0,913.0,917.5
Vosne-Romanée 1er Cru 'Aux Malconsorts',Domaine Sylvain Cathiard Vosne-Romanée 1er Cru 'Aux Malconsorts' 2008,2008,4.5,681,4.5,36,2790.0,0,France,29.356030377672806,0.0016129032258064516,1626.0,2021.0,1823.5
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 1999,1999,4.6,33143,4.6,670,925.0,0,Italie,47.87949933487189,0.004972972972972973,203.0,1595.0,899.0
Cerretalto Brunello di Montalcino,Casanova di Neri Cerretalto Brunello di Montalcino 2004,2004,4.7,5373,4.6,633,711.6666666666666,0,Italie,40.36896594642546,0.0066042154566744735,672.0,1440.0,1056.0
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 2008,2008,4.6,42456,4.7,4757,1380.8333333333333,0,France,49.01862821273556,0.003331321665660833,134.0,1822.0,978.0
Vintage,Krug Vintage 2008,2008,4.6,16918,4.6,1193,1680.0,0,France,44.78621374517421,0.002738095238095238,397.0,1899.0,1148.0
Clos du Mesnil,Krug Clos du Mesnil 1998,1998,4.7,2471,4.8,235,4696.666666666666,0,France,36.718177568146466,0.001000709723207949,1025.0,2074.0,1549.5
Barolo Rocche,Renato Ratti Barolo Rocche 2006,2006,4.4,1615,4.4,331,278.3333333333333,1,Italie,32.50319703688973,0.015808383233532935,1400.0,828.0,1114.0
Brunello di Montalcino Riserva,Mocali Brunello di Montalcino Riserva 2003,2003,4.4,306,0.0,1,170.0,0,Italie,25.183774448590476,0.025882352941176474,1872.0,511.0,1191.5
