name,avg_ratings_average,total_ratings_count
Chateauneuf-du-Pape Réserve des Célestins,2.3,146
Maya,2.3,87
Ginés Liébana Pedro Ximénez,2.3,84
Saint-Emilion Grand Cru (Premier Grand Cru Classé),2.3,70
Denarius Graves,2.3,62
El Carretil,2.3,59
Historical XIXth Century Wine,2.3,53
Echezeaux Grand Cru,2.3,45
Cirsion Rioja,2.25,424
Baffonero Maremma Toscana,2.25,231
Côtes de Bourg,2.25,137
Arborina Barolo,2.25,112
Scharzhofberger Riesling Spätlese,2.25,78
Rosso,2.25,73
Brunate  Barolo,2.25,64
Les Grandes Places Côte-Rôtie,2.25,63
Cannubi Barolo,2.25,42
Saperavi,2.2,810
Paleo Rosso,2.2,304
Valpolicella Classico Superiore,2.2,296
Trebbiano d'Abruzzo,2.2,207
Red Blend,2.2,170
Corton-Charlemagne Grand Cru,2.1631578947368424,2092
Pessac-Léognan Blanc (Grand Cru Classé de Graves),1.9714285714285715,181
Barolo Rocche,1.78,600
Saint-Émilion Grand Cru,1.6636363636363634,430
Nettare Veneto Bianco,1.5999999999999999,46
Recioto della Valpolicella (Monte Lodoletta),1.5666666666666667,107
Reserve,1.5333333333333332,92
Rujno Rosso,1.5333333333333332,78
Grande Cuvée Luigi Moio,1.5333333333333332,55
La Grande Rue Grand Cru Monopole,1.5,70
Musigny Grand Cru,1.2,47
Romanée-Saint-Vivant Grand Cru,1.175,96
Montrachet Grand Cru,1.175,66
Mazis-Chambertin Grand Cru,1.15,80
Vin Santo di Montepulciano Occhio di Pernice,1.15,79
Bonnes-Mares Grand Cru,1.125,167
Bâtard-Montrachet Grand Cru,0.93,188
Chapelle d'Ausone Saint-Émilion Grand Cru,0.9199999999999999,55
Clos Vougeot Grand Cru,0.9,54
Bienvenues-Bâtard-Montrachet Grand Cru,0.7833333333333333,83
Charmes-Chambertin Grand Cru,0.56875,169
Vin Santo di Montepulciano,0.0,56
Gorgona Rosso,0.0,52
Barbaresco Asili,0.0,47
La Faraona Bierzo (Corullón),0.0,44
